,mol,density,BCUT_SMR_3,diameter,ASA_P,MNDO_E,PM3_E,AM1_Eele,ASA,dipoleX,pmiX,PM3_dipole,vsurf_EDmin1,vsurf_EDmin3,FASA+,FASA-,FASA_H,MNDO_dipole,MNDO_Eele,npr2,vsurf_A,vsurf_CP,vsurf_CW2,vsurf_W6,vsurf_Wp1,vsurf_Wp4,Q_VSA_FPOL,reactive,SMR_VSA1,SlogP_VSA4,SlogP_VSA6,SlogP_VSA8,h_emd,h_pavgQ,h_pstates,apol,Kier2,mutagenic,PEOE_VSA+5,PEOE_VSA-1,PEOE_VSA-6,vdw_area,GCUT_PEOE_0,GCUT_SLOGP_0,GCUT_SLOGP_2,logP(o/w)
61,Fc1cc2C(=[N+]CCCC)NC(N)=[N+]c2cc1,0.73309875,2.775034,9,167.13893,-70712.547,-63567.223,-423360.09,471.91574,-0.23611318,606.95105,13.10506,-2.5016201,-2.492234,0.70120823,0.2987918,0.6458289,13.184906,-421110.31,0.70828891,4.0603189,0.24860597,2.0010023,9.5,875.0,79.625,0.51069027,0,14.960114,3.185575,0.0,37.736813,28.020676,0.57896382,3.1676071,37.412479,6.25,0,11.190562,27.44899,0.0,244.15854,-0.78137672,-2.2036803,0.19441576,3.5810001
62,Fc1cc2C(=[N+][C@H](CCO)CCC)NC(N)=[N+]c2cc1,0.73833281,2.8681355,9,223.92793,-85351.055,-77232.273,-574730.63,519.7594,-1.6811696,1511.3612,18.205683,-2.6420774,-2.6230567,0.7060408,0.2939592,0.56917006,17.313078,-564854.44,0.74165648,4.3738451,0.13722123,2.2744327,16.5,951.75,87.375,0.45984244,0,40.345341,3.185575,0.0,56.605217,29.861248,0.57686138,3.1302979,44.401653,7.8520408,0,11.190562,27.44899,7.7675405,288.65265,-0.79825729,-2.2039375,0.12731288,3.45
63,Fc1cc2C(=[N+][C@H](CCO)CCCC)NC(N)=[N+]c2cc1,0.7284106,2.8855853,10,184.61494,-88969.414,-80694.195,-615993.5,545.58856,0.11834967,966.06012,12.486386,-2.6925426,-2.6258698,0.73204756,0.26795244,0.66162241,14.026137,-606962.75,0.78167903,1.9926944,0.15198635,1.9601399,16.25,982.25,71.625,0.43393713,0,40.345341,3.185575,0.0,75.473625,29.920959,0.57671398,3.1307852,47.495239,8.5850182,0,11.190562,27.44899,7.7675405,305.88474,-0.79913747,-2.2039545,0.12730421,3.892
64,Fc1cc2[N+]=C(N)NC(=[N+][C@H](CCO)CCC)c2cc1,0.73833281,2.8681366,10,201.9342,-85357.578,-77237.734,-573482.69,522.43689,1.0239798,2870.8525,10.171653,-2.6442413,-2.6117325,0.69314158,0.30685845,0.61347634,10.70925,-557363.88,0.87792891,1.8970826,0.15364723,2.2444863,11.625,943.5,83.75,0.45984244,0,40.345341,3.185575,0.0,56.605217,29.761848,0.57644886,3.2293487,44.401653,7.8520408,0,11.190562,27.44899,7.7675405,288.65265,-0.79825824,-2.2039363,0.12806605,3.45
65,Fc1cc2[N+]=C(N)NC(=[N+][C@H](CCO)CCCC)c2cc1,0.7284106,2.8855863,11,193.60912,-88968.891,-80691.094,-621944.31,542.12683,1.9403868,1074.2898,14.23267,-2.7433853,-2.6708369,0.74055797,0.25944203,0.6428712,13.740533,-613163.13,0.73205024,4.9319944,0.18938944,1.9617187,20.5,968.0,75.5,0.43393713,0,40.345341,3.185575,0.0,75.473625,29.821609,0.57628196,3.2298465,47.495239,8.5850182,0,11.190562,27.44899,7.7675405,305.88474,-0.79913777,-2.2039533,0.12805758,3.892
66,[N+](CCCC)=C1NC(N)=[N+]c2c1cc(C#N)cc2,0.70605606,2.7751851,10,232.72255,-67356.766,-59860.41,-429024.97,497.87958,2.252032,1762.3911,15.308878,-2.5129068,-2.5106254,0.700486,0.299514,0.53257263,14.869744,-426567.59,0.66654128,2.2821724,0.21479128,2.0976925,11.125,990.0,81.0,0.5833869,0,31.059357,6.37115,0.0,37.736813,28.172972,0.53783214,3.0630596,39.715481,6.9632001,0,11.190562,27.44899,0.0,263.47958,-0.78139055,-2.2036834,0.1690874,3.0880001
67,[N+](C(CCC)C)=C1NC(N)=[N+]c2c1cccc2,0.67614913,2.8306196,9,160.46524,-63595.195,-57226.391,-422412.94,482.9534,-0.58238846,158.15131,10.329477,-2.6132228,-2.5885782,0.71750891,0.28249109,0.66774178,10.532777,-419624.5,0.80933416,4.5739923,0.29407433,1.6906103,9.875,889.0,76.625,0.48396438,0,0.0,3.185575,0.0,37.736813,27.594385,0.72521806,3.147068,40.61586,6.25,0,11.190562,51.958797,0.0,256.98145,-0.78068662,-2.2037964,0.13644643,3.8529999
68,N(C)c1nc(N)[n+]c2c1cccc2,0.72400486,2.5808082,6,147.9487,-49085.676,-43317.141,-270390.25,365.41205,0.83909959,290.53564,2.4123776,-2.5770214,-2.527802,0.73912132,0.24895303,0.59511817,2.3510389,-269312.19,0.55838627,4.8416228,0.1867806,2.104368,23.375,760.625,70.75,0.43528181,0,16.78553,0.0,0.0,0.0,16.922026,0.70894927,3.3627625,27.574722,4.0221605,1,0.0,30.192385,0.0,184.97977,-0.76430583,-1.4217668,0.16394971,1.204
69,N(CC)c1nc(N)[n+]c2c1cccc2,0.71026862,2.6694741,7,154.06271,-52698.227,-46768.895,-302557.19,409.18011,0.7083379,730.34027,2.8271346,-2.5698807,-2.5454872,0.70265418,0.28347108,0.62348437,2.9877131,-302057.19,0.62079936,4.3702455,0.22219062,2.0004663,14.75,780.125,64.625,0.55614114,0,16.78553,0.0,0.0,0.0,16.893835,0.71835041,3.2353311,30.668308,4.6799998,1,0.0,30.192385,0.0,202.21185,-0.77180386,-1.421767,0.16077964,1.545
70,[N+](CCC(C)C)=C1NC(N)=[N+]c2c1cccc2,0.67614913,2.8427505,9,167.2981,-63592.941,-57225.02,-426982.41,473.50238,-0.69980603,414.16565,11.833942,-2.8311515,-2.7633126,0.72806156,0.27193844,0.64667952,11.330225,-421745.5,0.78690249,4.87603,0.3219375,1.7654186,9.125,879.625,76.0,0.52033466,0,0.0,7.5963712,0.0,18.868406,27.699625,0.71601748,3.260628,40.61586,6.25,0,11.190562,62.005161,0.0,258.32648,-0.79257315,-2.2036979,0.14237264,3.7490001
